Porosity,Permeability,Class,in train
0.040110472,0.597525968,1,1
0.043941154,3.321682802,1,1
0.045203648,0.106778017,1,0
0.04644978,1.312055779,1,1
0.047155501,0.114689909,2,1
0.05,0.671523249,1,1
0.05005669,0.402509564,1,1
0.052429721,0.173640116,2,1
0.055682806,0.113026436,1,1
0.056381232,0.095902488,1,1
0.056477985,0.163238638,2,0
0.057101921,4.777014902,1,1
0.058928831,5.541699938,1,0
0.059600104,2.517006183,2,1
0.061711711,0.146836369,2,1
0.062300484,2.072859645,2,1
0.063938524,0.528176358,1,1
0.064202263,0.148137864,2,1
0.065045721,1.863237373,1,1
0.066162138,0.279642166,2,1
0.066371889,0.279642166,2,0
0.066374919,1.295579774,1,1
0.067436392,0.180407863,1,0
0.068260689,0.602007252,1,1
0.06992684,5.268526978,1,1
0.070933662,0.181473372,2,1
0.071046016,0.0969858,1,1
0.07161046,0.0969858,2,1
0.072983498,2.324835816,2,1
0.073330853,2.224488006,2,1
0.076312314,0.0979559,3,1
0.076910844,2.302457204,1,0
0.077140481,0.358023642,2,0
0.077260292,205.7590036,1,1
0.077753386,0.292257388,2,1
0.078674061,1.279308835,3,1
0.0788526,6.531212033,1,1
0.081382788,25.05709184,1,1
0.081601229,10.53157948,1,1
0.081601229,0.10875841,3,1
0.082835136,0.265221053,2,1
0.083818096,33.28483618,1,1
0.084114716,1.092368084,1,1
0.084825343,0.097845441,2,1
0.085229084,0.450355268,2,1
0.085499312,1.576754711,2,1
0.085634748,1.576754711,2,1
0.085864738,3.282847563,1,0
0.086095215,3.092354974,1,0
0.08643412,5.755839378,1,1
0.086451879,0.116732045,2,1
0.086532142,1.223954743,1,1
0.087256868,0.842622977,1,1
0.087320295,2.054918436,1,1
0.088109618,1.107811226,2,1
0.088109618,1.050681532,2,1
0.088197484,0.0979559,3,1
0.088215561,39.5464336,1,0
0.08824919,1.078868295,2,1
0.088434202,0.300471396,3,1
0.088616419,0.483458834,1,1
0.088616419,18.76224315,1,1
0.089322264,0.489607724,3,0
0.089423564,6.449197012,1,1
0.090033757,94.58341815,1,0
0.090799653,0.47905235,2,1
0.091163281,1.442501044,1,1
0.091889422,2.499577717,1,0
0.092097965,3.079125996,1,1
0.092516449,0.125844034,3,1
0.092621372,0.293469797,3,1
0.092726415,9.602703396,1,1
0.094563642,1.486841984,1,1
0.094744932,2.421839538,1,1
0.094744932,5.008812663,1,1
0.094744932,320.2261236,1,1
0.094852385,356.5408998,1,1
0.095668589,2.000967898,2,1
0.096478802,0.168293958,3,1
0.096807409,4.091843113,1,1
0.097041231,1.321646347,2,1
0.097357593,115.050116,1,1
0.09813312,15.23086487,1,1
0.098902117,0.22035691,2,1
0.09970274,1.092368084,3,1
0.099815817,0.962684292,3,1
0.099815817,2.421839538,1,1
0.100004078,0.586852803,2,0
0.100155795,391.9883809,1,1
0.101068118,1.678719567,3,1
0.101182745,1.991009394,1,1
0.101438952,4.922102307,2,1
0.102083294,0.394519604,2,1
0.102083294,0.38761779,2,1
0.102406985,0.300097812,2,1
0.102894449,0.297461241,2,1
0.103384234,0.669909044,2,1
0.103384234,0.806302086,2,0
0.103502684,2.468185998,1,1
0.104867629,0.222310061,2,1
0.105755892,8.570322363,1,1
0.10586837,0.210845557,2,1
0.106372317,0.66402342,2,1
0.107204203,143.5277959,1,1
0.107217569,0.813448808,2,1
0.107325764,6.614279506,1,1
0.107325764,123.331496,1,1
0.108303429,14.75717698,1,1
0.108426266,1.078649242,3,1
0.108490254,428.6926246,1,1
0.108490254,493.6076638,1,1
0.109289976,0.495834109,3,1
0.109446802,4.089491553,2,1
0.109662265,10.49090544,1,1
0.110273773,1.324793081,1,0
0.110285541,41.86060515,1,0
0.110661194,57.41406482,1,1
0.111193129,2.898700758,2,1
0.111369285,6.762686204,2,1
0.111961764,0.229603168,3,1
